iter	Passed	Remaining
380	724	1177
381	726	1174
382	727	1171
383	728	1168
384	729	1165
385	730	1162
386	731	1159
387	733	1156
388	734	1153
389	736	1151
390	737	1149
391	739	1146
392	740	1144
393	742	1141
394	743	1138
395	745	1136
396	746	1133
397	747	1130
398	749	1128
399	752	1128
400	754	1127
401	756	1124
402	757	1122
403	760	1122
404	762	1120
405	765	1119
406	767	1118
407	769	1116
408	771	1114
409	772	1111
410	773	1108
411	775	1106
412	776	1103
413	780	1104
414	781	1102
415	783	1099
416	784	1096
417	785	1093
418	786	1090
419	788	1088
420	789	1086
421	791	1084
422	794	1083
423	795	1081
424	797	1078
425	798	1076
426	799	1073
427	801	1071
428	802	1068
429	804	1065
430	805	1063
431	807	1061
432	808	1058
433	810	1056
434	811	1053
435	812	1051
436	814	1048
437	815	1046
438	816	1043
439	817	1040
440	819	1038
441	820	1036
442	822	1034
443	824	1032
444	826	1030
445	827	1028
446	829	1026
447	830	1023
448	832	1021
449	833	1018
450	834	1016
451	836	1013
452	837	1011
453	839	1009
454	842	1008
